#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
293;J0750+57;1.174875;*;*;*;*;
294;J0751+1807;0.003479;7.79e-21;ELL1H;GRS:2FGL_J0751.1+1809[naa+12];HE[wob+04,aaa+09f];
295;J0753-0816;2.093620;*;*;*;*;
296;B0751+32;1.442349;1.08e-15;*;*;*;
297;B0756-15;0.682265;1.62e-15;*;*;*;
298;J0802-09;0.571256;*;*;*;*;
299;J0804-3647;2.191987;4.21e-15;*;*;*;
300;J0806+08;2.063100;*;*;*;*;
301;J0806-4123;11.370386;5.56e-14;*;XRS:RX_J0806.4-4123[hmp98],OPT:[kkvh11];XINS,NRAD;
302;J0807-5421;0.526644;3.78e-16;*;*;*;
303;J0808-3937;0.866349;4.01e-16;*;*;*;
304;B0808-47;0.547199;3.08e-15;*;*;*;
305;J0812-3905;0.482596;4.49e-17;*;*;*;
306;B0809+74;1.292241;1.68e-16;*;*;*;
307;J0815+0939;0.645161;1.39e-16;*;*;*;
308;J0818-3049;0.763742;5.80e-16;*;*;*;
309;J0818-3232;2.161259;7.53e-16;*;*;*;
310;B0818-13;1.238130;2.11e-15;*;*;*;
311;J0820-3826;0.124836;2.44e-15;*;*;*;
312;J0820-3921;1.073567;1.22e-14;*;*;*;
313;B0818-41;0.545446;1.89e-17;*;*;*;
314;J0821-4221;0.396728;3.48e-15;*;*;*;
315;J0821-4300;0.112799;9.28e-18;*;SNR:PUPPIS_A,XRS:RX_J0822-4300;NRAD;
316;B0820+02;0.864873;1.05e-16;BT;*;*;
317;J0824+00;0.009900;*;*;*;*;
318;B0823+26;0.530661;1.71e-15;*;*;HE[bwt+04];
319;B0826-34;1.848919;9.96e-16;*;*;*;
320;J0831-4406;0.311674;1.28e-15;*;*;*;
321;J0834-4159;0.121116;4.44e-15;*;*;*;
322;J0834-60;0.384645;*;*;*;*;
323;J0835-3707;0.541404;9.78e-15;*;*;*;
324;J0835-42;0.738400;*;*;*;*;
325;B0833-45;0.089328;1.25e-13;*;SNR:Vela,GRS:2FGL_J0835.3-4510[naa+12],G;HE[hg73,tfko75];
326;B0834+06;1.273768;6.80e-15;*;*;*;
327;J0837-24;*;*;*;*;RRAT;
328;B0835-41;0.751624;3.54e-15;*;*;*;
329;J0838-2621;0.308581;3.90e-17;*;*;*;
330;J0838-3947;1.703946;8.13e-16;*;*;*;
331;J0839-66;0.449339;*;*;*;*;
332;B0839-53;0.720612;1.64e-15;*;*;*;
333;B0840-48;0.644354;9.50e-15;*;*;*;
334;J0843+0719;1.365860;*;*;*;*;
335;J0843-5022;0.208956;1.72e-16;*;*;*;
336;B0844-35;1.116097;1.60e-15;*;*;*;
337;J0847-4316;5.977493;1.20e-13;*;*;RRAT;
338;J0848+16;0.452400;*;*;*;*;
339;J0849-6322;0.367953;7.91e-16;*;*;*;
340;B0841+80;1.602228;4.46e-16;*;*;*;
341;B0853-33;1.267536;6.32e-15;*;*;*;
342;J0855-4644;0.064686;7.26e-15;*;SNR:RX_J0852.0-4622(?)[rm05];*;
343;J0855-4658;0.575072;1.36e-14;*;*;*;
344;B0855-61;0.962509;1.68e-15;*;*;*;
345;J0857-4424;0.326774;2.33e-14;*;*;*;
346;J0900-3144;0.011110;4.89e-20;ELL1;*;*;
347;J0901-4624;0.441995;8.75e-14;*;*;*;
348;B0901-63;0.660313;1.07e-16;*;*;*;
349;B0903-42;0.965171;1.89e-15;*;*;*;
350;B0904-74;0.549553;4.63e-16;*;*;*;
351;J0905-4536;0.988281;1.49e-16;*;*;*;
352;J0905-5127;0.346287;2.49e-14;*;*;*;
353;J0905-6019;0.340854;5.22e-16;*;*;*;
354;B0905-51;0.253556;1.83e-15;*;*;*;
