#;NAME;P0;P1;BINARY;ASSOC;PSR;
;;(s);;(type);;TYPE;
1331;J1725-3546;1.032471;1.50e-14;*;*;*;
1332;J1725-3848;2.062386;2.30e-14;*;*;*;
1333;J1725-3853;0.004792;5.00e-20;*;*;*;
1334;J1725-4043;1.465071;2.79e-15;*;*;*;
1335;J1726-00;1.308600;*;*;*;*;
1336;J1726-31;0.123470;*;*;*;*;
1337;J1726-3530;1.110132;1.22e-12;*;SNR:G352.2-0.1(?)[mbc+02];*;
1338;J1726-3635;0.287432;1.44e-15;*;*;*;
1339;J1726-4006;0.882778;3.33e-15;*;*;*;
1340;J1727-2739;1.293100;1.10e-15;*;*;*;
1341;J1727-29;*;*;*;*;RRAT;
1342;J1727-2946;0.027083;2.46e-19;BT;*;*;
1343;B1726-00;0.386004;1.12e-15;*;*;*;
1344;J1728-3733;0.615538;7.20e-17;*;*;*;
1345;J1728-4028;0.866343;2.33e-16;*;*;*;
1346;J1729-2117;0.066293;1.72e-19;*;*;*;
1347;J1730-2304;0.008123;2.02e-20;*;XRS:[pb15];HE[lsg+15];
1348;J1730-2900;1.538427;8.85e-15;*;*;*;
1349;B1727-33;0.139460;8.48e-14;*;*;*;
1350;J1730-3353;3.270242;2.20e-14;*;*;*;
1351;J1730-34;0.099830;*;*;*;*;
1352;J1731-1847;0.002345;2.54e-20;BTX;XRS:[pb15];*;
1353;J1731-3123;0.753048;1.68e-15;*;*;*;
1354;J1731-3322;0.544671;2.81e-14;*;*;*;
1355;B1727-47;0.829829;1.64e-13;*;*;*;
1356;J1732-1930;0.483770;1.82e-16;*;*;*;
1357;J1732-3131;0.196543;2.80e-14;*;GRS:2FGL_J1732.5-3131[naa+12];HE;
1358;J1732-3426;0.332887;4.02e-16;*;*;*;
1359;J1732-35;0.126690;*;*;*;*;
1360;J1732-3729;2.184001;1.30e-15;*;*;*;
1361;B1729-41;0.627981;1.28e-14;*;*;*;
1362;J1732-4156;0.323434;6.61e-16;*;*;*;
1363;J1732-5049;0.005313;1.42e-20;ELL1;GRS:[hsg+14];HE;
1364;B1730-22;0.871683;4.27e-17;*;*;*;
1365;J1733-2533;0.659794;2.10e-15;*;*;*;
1366;J1733-2837;0.768185;1.11e-15;*;*;*;
1367;J1733-3030;0.362052;1.65e-15;*;*;*;
1368;J1733-3322;1.245915;4.10e-15;*;*;*;
1369;B1730-37;0.337594;1.50e-14;*;*;*;
1370;J1733-4005;0.561778;3.62e-15;*;*;*;
1371;J1733-5515;1.011234;4.00e-16;*;*;*;
1372;B1732-02;0.839394;4.21e-16;*;*;*;
1373;J1734-2415;0.612524;1.05e-15;*;*;*;
1374;J1734-3058;0.541286;1.62e-17;*;*;*;
1375;J1734-3333;1.169341;2.28e-12;*;*;HE[oklk10];
1376;J1735-0243;0.782887;6.32e-16;*;*;*;
1377;B1732-07;0.419335;1.21e-15;*;*;*;
1378;J1735-3258;0.350963;2.61e-14;*;*;*;
1379;J1736+05;0.999245;*;*;*;*;
1380;J1736-2457;2.642223;3.43e-15;*;*;*;
1381;J1736-2819;1.592419;1.49e-14;*;*;*;
1382;J1736-2843;6.445036;3.00e-14;*;*;*;
1383;J1736-3511;0.502803;1.57e-15;*;*;*;
1384;J1737-0811;0.004175;7.93e-21;BT;*;*;
1385;J1737-3102;0.768672;3.73e-14;*;*;*;
1386;J1737-3137;0.450432;1.39e-13;*;*;*;
1387;J1737-3320;0.816273;2.25e-15;*;*;*;
1388;B1734-35;0.397585;6.12e-15;*;*;*;
1389;J1738+0333;0.005850;2.41e-20;ELL1;OPT:[avk+12];*;
1390;J1738+04;1.391790;*;*;*;*;
1391;J1738-2330;1.978847;8.56e-15;*;*;*;
1392;J1738-2647;0.349591;3.15e-15;*;*;*;
1393;J1738-2736;0.627716;4.62e-15;*;*;*;
1394;J1738-2955;0.443398;8.19e-14;*;*;*;
1395;J1738-3107;0.549498;2.96e-16;*;*;*;
1396;B1735-32;0.768499;7.95e-16;*;*;*;
1397;J1738-3316;0.730373;8.86e-17;*;*;*;
1398;J1739+0612;0.234169;1.56e-16;*;*;*;
1399;J1739-1313;1.215698;8.17e-17;*;*;*;
1400;J1739-2521;1.818461;2.40e-16;*;*;RRAT;
1401;B1736-29;0.322882;7.88e-15;*;*;*;
1402;J1739-3023;0.114368;1.14e-14;*;*;HE[lsg+15];
1403;J1739-3049;0.239317;2.18e-15;*;*;*;
1404;B1736-31;0.529441;1.86e-14;*;*;*;
1405;J1739-3159;0.877561;1.97e-16;*;*;*;
1406;J1739-3951;0.341772;1.99e-17;*;*;*;
1407;J1740+1000;0.154087;2.15e-14;*;*;*;
1408;B1737+13;0.803050;1.45e-15;*;*;*;
1409;J1740-2540;1.692656;1.85e-15;*;*;*;
1410;B1737-30;0.606887;4.66e-13;*;*;*;
1411;J1740-3052;0.570313;2.55e-14;MSS;OPT:[bbn+11];*;
1412;J1740-3327;0.515001;3.90e-15;*;*;*;
1413;J1740-5340A;0.003650;1.68e-19;BT;GC:NGC6397,OPT:[fpds01],XRS:[ghe+01];*;
1414;B1738-08;2.043082;2.27e-15;*;*;*;
1415;J1741+1351;0.003747;3.02e-20;ELL1H;*;HE[egc+13];
1416;J1741-2019;3.904506;1.63e-14;*;*;*;
1417;J1741-2054;0.413700;1.70e-14;*;GRS:2FGL_J1741.9-2054[naa+12],XRS:Swift_;HE;
1418;J1741-2719;0.346797;8.06e-17;*;*;*;
1419;J1741-2733;0.892959;1.48e-16;*;*;*;
1420;J1741+2758;1.360738;1.84e-15;*;*;*;
1421;J1741-2945;0.223558;6.34e-16;*;*;*;
1422;J1741-3016;1.893749;8.99e-15;*;*;*;
1423;J1741-34;0.875137;*;*;*;*;
1424;B1737-39;0.512211;1.93e-15;*;*;*;
1425;J1742-3957;1.016349;8.16e-17;*;*;*;
1426;J1742-4616;0.412401;3.38e-17;*;*;*;
1427;B1740-03;0.444645;1.56e-15;*;*;*;
1428;J1743+05;1.473630;*;*;*;*;
1429;B1740-13;0.405337;4.78e-16;*;*;*;
1430;J1743-2442;1.242508;4.72e-16;*;*;*;
1431;B1740-31;2.414576;1.21e-13;*;*;*;
1432;J1743-3153;0.193105;1.06e-14;*;*;*;
1433;J1743-35;0.569980;*;*;*;*;
1434;J1743-4212;0.306167;7.83e-16;*;*;*;
1435;J1744-1134;0.004075;8.93e-21;*;GRS:2FGL_J1744.6-1135[naa+12];HE[aaa+09f];
1436;J1744-1610;1.757206;2.38e-15;*;*;*;
1437;J1744-2335;1.683507;8.33e-16;*;*;*;
1438;J1744-3130;1.066061;2.12e-14;*;*;*;
1439;J1744-3922;0.172444;1.55e-18;ELL1;*;*;
1440;J1744-5337;0.355666;1.90e-16;*;*;*;
1441;J1744-7619;0.004688;9.68e-21;*;GRS:3FGL_J1744.1-7619[aaa+15];NRAD[cpw+18];
1442;J1745-0129;1.045407;6.31e-16;*;*;*;
1443;J1745-0952;0.019376;9.25e-20;ELL1;*;*;
1444;J1745+1017;0.002652;2.73e-21;ELL1;GRS:2FGL_J1745.6+1015;HE;
1445;J1745-2229;1.160593;2.86e-15;*;*;*;
1446;J1745-2900;3.763733;1.76e-11;*;AXP:SGR_J1745-29[kbk+13];AXP,HE;
1447;J1745-2910;0.982000;*;*;*;*;
1448;J1745-2912;0.187379;*;*;*;*;
1449;B1742-30;0.367432;1.07e-14;*;*;*;
1450;J1745-3812;0.698353;2.43e-15;*;*;*;
1451;J1746+2245;3.465038;4.92e-15;*;*;*;
1452;J1746+2540;1.058148;1.05e-15;*;*;*;
1453;J1746-27;0.487528;*;*;*;*;
1454;J1746-2849;1.478480;1.27e-14;*;*;*;
1455;J1746-2850;1.077101;1.34e-12;*;*;*;
1456;J1746-2856;0.945224;1.25e-14;*;*;*;
1457;J1746-3239;0.199541;6.56e-15;*;GRS:2FGL_J1746.5-3238[naa+12];NRAD;
1458;J1747-1030;1.578793;4.30e-16;*;*;*;
1459;J1747-2647;0.500254;1.32e-14;*;*;*;
1460;J1747-2802;2.780079;2.37e-15;*;*;*;
1461;J1747-2809;0.052153;1.56e-13;*;XRS:CXOU_J174722.8-280915,SNR:G0.9+0.1;*;
1462;J1747-2958;0.098814;6.13e-14;*;PWN:G359.23-0.82[gvc+04],GRS:1AGL_J1746-;*;
1463;J1747-4036;0.001646;1.31e-20;*;GRS:3FGL_J1747.6-4037[aaa+15];HE;
1464;B1745-12;0.394133;1.21e-15;*;*;*;
1465;B1745-20A;0.288603;3.99e-16;*;GC:NGC6440;*;
1466;J1748-2021B;0.016760;-3.29e-19;BT;GC:NGC6440;*;
1467;J1748-2021C;0.006227;-5.98e-20;*;GC:NGC6440;*;
1468;J1748-2021D;0.013496;5.87e-19;BT;GC:NGC6440;*;
1469;J1748-2021E;0.016264;3.12e-19;*;GC:NGC6440;*;
1470;J1748-2021F;0.003794;-1.05e-20;BT;GC:NGC6440;*;
1471;J1748-2444;0.442838;1.11e-16;*;*;*;
1472;B1744-24A;0.011563;-3.40e-20;BT;GC:Ter5;*;
1473;J1748-2446aa;0.005788;*;*;GC:Ter5;*;
1474;J1748-2446ab;0.005120;*;*;GC:Ter5;*;
1475;J1748-2446ac;0.005087;*;*;GC:Ter5;*;
1476;J1748-2446ad;0.001396;0.00e+00;ELL1;GC:Ter5;*;
1477;J1748-2446ae;0.003659;*;BT;GC:Ter5;*;
1478;J1748-2446af;0.003304;*;*;GC:Ter5;*;
1479;J1748-2446ag;0.004448;*;*;GC:Ter5;*;
1480;J1748-2446ah;0.004965;*;*;GC:Ter5;*;
1481;J1748-2446ai;0.021228;*;BT;GC:Ter5;*;
1482;J1748-2446aj;0.002959;1.41e-19;*;*;*;
1483;J1748-2446ak;0.001890;8.85e-20;*;*;*;
1484;J1748-2446al;5.950000;*;*;*;*;
1485;J1748-2446C;0.008436;-6.06e-19;*;GC:Ter5;*;
1486;J1748-2446D;0.004714;*;*;GC:Ter5;*;
1487;J1748-2446E;0.002198;*;BT;GC:Ter5;*;
1488;J1748-2446F;0.005540;*;*;GC:Ter5;*;
1489;J1748-2446G;0.021672;*;*;GC:Ter5;*;
1490;J1748-2446H;0.004926;*;*;GC:Ter5;*;
1491;J1748-2446I;0.009570;*;BT;GC:Ter5;*;
1492;J1748-2446J;0.080338;*;BT;GC:Ter5;*;
1493;J1748-2446K;0.002970;*;*;GC:Ter5;*;
1494;J1748-2446L;0.002245;*;*;GC:Ter5;*;
1495;J1748-2446M;0.003570;*;BT;GC:Ter5;*;
1496;J1748-2446N;0.008667;*;BT;GC:Ter5;*;
1497;J1748-2446O;0.001677;*;BT;GC:Ter5;*;
1498;J1748-2446P;0.001729;*;BT;GC:Ter5;*;
1499;J1748-2446Q;0.002812;*;BT;GC:Ter5;*;
1500;J1748-2446R;0.005029;*;*;GC:Ter5;*;
1501;J1748-2446S;0.006117;*;*;GC:Ter5;*;
1502;J1748-2446T;0.007085;*;*;GC:Ter5;*;
1503;J1748-2446U;0.003289;*;BT;GC:Ter5;*;
1504;J1748-2446V;0.002073;*;BT;GC:Ter5;*;
1505;J1748-2446W;0.004205;*;BT;GC:Ter5;*;
1506;J1748-2446X;0.002999;*;BT;GC:Ter5;*;
1507;J1748-2446Y;0.002048;*;BT;GC:Ter5;*;
1508;J1748-2446Z;0.002463;*;BT;GC:Ter5;*;
1509;J1748-30;0.382735;*;*;*;*;
1510;J1748-3009;0.009684;*;BT;*;*;
1511;J1749+16;2.311650;*;*;*;*;
1512;J1749-2347;0.874486;2.42e-15;*;*;*;
1513;J1749-2629;1.335388;1.72e-15;*;*;*;
1514;B1746-30;0.609874;7.87e-15;*;*;*;
1515;J1749-4931;0.445822;5.90e-16;*;*;*;
1516;B1745-56;1.332310;2.12e-15;*;*;*;
1517;J1750+07;1.908810;*;*;*;*;
1518;J1750-2043;5.639047;7.95e-15;*;*;*;
1519;J1750-2438;0.712794;1.08e-14;*;*;*;
1520;J1750-2444;0.899377;2.64e-16;*;*;*;
1521;J1750-2536;0.034749;*;BT;*;*;
1522;J1750-28;1.300513;5.78e-15;*;*;*;
1523;B1747-31;0.910363;1.97e-16;*;*;*;
1524;J1750-3503;0.684014;3.81e-17;*;*;*;
1525;J1750-3703A;0.111601;5.66e-18;BT;GC:NGC6441;*;
1526;J1750-3703B;0.006075;1.92e-20;BT;GC:NGC6441;*;
1527;J1750-3703C;0.026569;-9.96e-19;*;GC:NGC6441;*;
1528;J1750-3703D;0.005140;4.93e-19;*;GC:NGC6441;*;
1529;J1751-2516;0.394836;2.64e-15;*;*;*;
1530;J1751-2857;0.003915;1.12e-20;DD;*;*;
1531;J1751-3323;0.548227;8.83e-15;*;*;*;
1532;B1747-46;0.742352;1.29e-15;*;*;*;
1533;J1752+2359;0.409051;6.43e-16;*;*;*;
1534;J1752-2410;0.191037;6.18e-16;*;*;*;
1535;B1749-28;0.562558;8.13e-15;*;*;*;
1536;J1752-2821;0.640229;3.47e-15;*;*;*;
1537;J1753-12;0.405454;*;*;*;RRAT;
1538;J1753-1914;0.062955;2.02e-18;*;*;*;
1539;J1753-2240;0.095138;9.70e-19;BT;*;*;
1540;B1750-24;0.528336;1.41e-14;*;*;*;
1541;J1753-38;0.666804;*;*;*;RRAT;
1542;J1754+0032;0.004411;*;*;*;*;
1543;J1754-2422;2.090248;8.30e-16;*;*;*;
1544;J1754-3014;1.320490;4.43e-15;*;*;RRAT;
1545;J1754-3443;0.361691;5.71e-16;*;*;*;
1546;J1754-3510;0.392704;7.82e-16;*;*;*;
1547;B1753+52;2.391397;1.56e-15;*;*;*;
1548;J1755-0903;0.190710;7.81e-16;*;*;*;
1549;J1755-1650;0.733744;6.86e-16;*;*;*;
1550;J1755-2025;0.322231;4.42e-15;*;*;*;
1551;J1755-2521;1.175968;9.02e-14;*;*;*;
1552;J1755-25211;1.004513;3.12e-14;*;*;*;
1553;J1755-2534;0.233541;1.12e-14;*;*;*;
1554;J1755-2550;0.315196;2.43e-15;DD;*;*;
1555;J1755-26;0.430872;1.23e-14;*;*;*;
1556;J1755-2725;0.261955;1.37e-17;*;*;*;
1557;J1755-33;0.959466;*;*;*;*;
1558;J1755-3716;0.012786;3.11e-20;ELL1;*;*;
1559;J1756+1822;0.744001;5.13e-16;*;*;*;
1560;J1756-2225;0.404980;5.27e-14;*;*;*;
1561;J1756-2251;0.028462;1.02e-18;DD;*;*;
1562;B1753-24;0.670480;2.85e-16;*;*;*;
1563;J1756-25;0.855986;*;*;*;*;
1564;J1756-2619;0.724514;1.24e-15;*;*;*;
1565;J1757-15;0.179400;*;*;*;*;
1566;J1757-16;0.451273;*;*;*;*;
1567;J1757-1854;0.021497;2.63e-18;DDH;*;*;
1568;J1757-2223;0.185310;7.82e-16;*;*;*;
1569;B1754-24;0.234106;1.30e-14;*;*;*;
1570;J1757-27;0.017687;2.10e-19;*;*;*;
1571;J1757-5322;0.008870;2.63e-20;ELL1;*;*;
1572;J1758-1931;0.692552;1.69e-14;*;*;*;
1573;J1758-2206;0.430278;9.56e-16;*;*;*;
1574;J1758-2540;2.107263;1.55e-15;*;*;*;
1575;J1758-2630;1.202893;5.17e-15;*;*;*;
1576;J1758-2846;0.766706;9.41e-17;*;*;*;
1577;J1758+3030;0.947256;7.20e-16;*;*;*;
1578;J1759-1029;2.512263;1.57e-14;*;*;*;
1579;J1759-1736;0.798452;2.55e-16;*;*;*;
1580;J1759-1903;0.731505;3.07e-15;*;*;*;
1581;J1759-1940;0.254720;9.34e-17;*;*;*;
1582;J1759-1956;2.843389;1.86e-14;*;*;*;
1583;B1756-22;0.460974;1.09e-14;*;*;*;
1584;J1759-2302;0.810718;1.07e-14;*;*;*;
1585;J1759-2307;0.558889;3.76e-15;*;*;*;
1586;J1759-24;1.457739;*;*;*;*;
1587;J1759-2549;0.956549;9.96e-14;*;*;*;
1588;J1759-2922;0.574400;4.63e-15;*;*;*;
1589;J1759-3107;1.078953;3.77e-15;*;*;*;
1590;J1800-0125;0.783185;1.15e-14;*;*;*;
1591;J1800-2114;1.799272;5.50e-16;*;*;*;
1592;B1757-23;1.030820;*;*;*;*;
1593;J1800+5034;0.578375;1.17e-16;*;*;*;
1594;B1758-03;0.921491;3.31e-15;*;*;*;
1595;J1801-0857A;0.007176;-5.13e-19;*;GC:NGC6517;*;
1596;J1801-0857B;0.028962;2.19e-18;BT;GC:NGC6517;*;
1597;J1801-0857C;0.003739;-6.50e-20;*;GC:NGC6517;*;
1598;J1801-0857D;0.004227;6.90e-21;*;GC:NGC6517;*;
1599;J1801-1417;0.003625;5.30e-21;*;*;*;
1600;J1801-1855;2.550498;1.82e-16;*;*;*;
1601;J1801-1909;1.108725;7.03e-16;*;*;*;
1602;J1801-2115;0.438113;1.55e-17;*;*;*;
1603;J1801-2154;0.375297;1.60e-14;*;*;*;
1604;B1758-23;0.415827;1.13e-13;*;SNR:W28(?)[fkv93];*;
1605;B1757-24;0.124924;1.28e-13;*;SNR:G5.4-1.2[fk91],XRS:PWN[kggl01];*;
1606;B1758-29;1.081908;3.29e-15;*;*;*;
1607;J1801-3210;0.007454;-4.44e-23;ELL1;*;*;
1608;J1801-3458;1.385604;3.97e-16;*;*;*;
1609;J1802+0128;0.554262;2.11e-15;*;*;*;
1610;J1802+03;0.664300;*;*;*;*;
1611;J1802-05;1.681000;*;*;*;*;
1612;J1802-1745;0.514671;5.64e-16;*;*;*;
1613;J1802-2124;0.012648;7.26e-20;ELL1;*;*;
1614;J1802-2426;0.569007;8.56e-15;*;*;*;
1615;J1802-3346;2.461052;1.32e-15;*;*;*;
1616;J1803-1616;0.536596;1.77e-15;*;*;*;
1617;J1803-1857;2.864338;1.52e-14;*;*;*;
1618;J1803-1920;0.443649;3.30e-16;*;*;*;
1619;B1800-21;0.133667;1.34e-13;*;SNR:G8.7-0.1(?)[kw90],GRS:J1804-216(?)[a;HE;
1620;J1803-2149;0.106332;1.95e-14;*;GRS:2FGL_J1803.3-2148[naa+12];NRAD;
1621;B1800-27;0.334415;1.71e-17;BT;*;*;
1622;J1803-3002A;0.007101;*;*;GC:NGC6522;*;
1623;J1803-3002B;0.004397;*;*;GC:NGC6522;*;
1624;J1803-3002C;0.005840;*;*;GC:NGC6522;*;
1625;J1803-3329;0.633412;3.37e-16;*;*;*;
1626;B1802-07;0.023101;4.67e-19;BT;GC:NGC6539;*;
1627;J1804-2228;0.570511;1.43e-16;*;*;*;
1628;J1804-2717;0.009343;4.09e-20;DD;*;*;
1629;J1804-28;1.273011;*;*;*;*;
1630;J1804-2858;0.001493;*;*;*;*;
1631;B1802+03;0.218712;9.99e-16;*;*;*;
1632;J1805+06;0.002130;*;BT;GRS:3FGL_J1805.9+0614[cck+16];HE;
1633;J1805-0619;0.454651;9.69e-16;*;*;*;
1634;J1805-1504;1.181269;2.73e-16;*;*;*;
1635;J1805-2032;0.405769;8.39e-15;*;*;*;
1636;J1805-2037;0.357807;1.76e-15;*;*;*;
1637;J1805-2447;0.661402;5.82e-18;*;*;*;
1638;J1805-2948;0.428341;4.74e-16;*;*;*;
1639;J1806+1023;0.484286;5.73e-17;*;*;*;
1640;B1804-12;0.522618;1.41e-15;*;*;*;
1641;J1806-1618;0.668309;8.62e-16;*;*;*;
1642;J1806-1920;0.879791;1.70e-17;*;*;*;
1643;J1806-2125;0.481789;1.21e-13;*;*;*;
1644;J1806+2819;0.015084;3.75e-20;ELL1;*;*;
1645;J1807+04;0.798900;*;*;*;*;
1646;J1807+0756;0.464300;1.29e-16;*;*;*;
1647;B1804-08;0.163727;2.88e-17;*;*;*;
1648;J1807-2459A;0.003059;-4.34e-21;BT;GC:NGC6544;*;
1649;J1807-2459B;0.004186;8.23e-20;DD;GC:NGC6544;*;
1650;J1807-2557;2.764195;4.99e-15;*;*;RRAT;
1651;B1804-27;0.827776;1.22e-14;*;*;*;
1652;J1808+00;0.425115;*;*;*;*;
1653;J1808-0813;0.876044;1.24e-15;*;*;*;
1654;J1808-1020;0.596993;7.72e-16;*;*;*;
1655;J1808-1517;0.544549;2.67e-15;*;*;*;
1656;J1808-1726;0.241035;1.16e-17;*;*;*;
1657;J1808-2024;7.555920;5.49e-10;*;SNR:G10.0-0.3(?),SGR_1806-20;AXP,NRAD;
1658;B1805-20;0.918410;1.71e-14;*;*;*;
1659;J1808-2701;2.457882;6.58e-14;*;*;*;
1660;J1808-3249;0.364912;7.05e-15;*;*;*;
1661;J1809-0119;0.744976;2.29e-15;*;*;*;
1662;J1809-0743;0.313886;1.52e-16;*;*;*;
1663;J1809-1429;0.895285;5.24e-15;*;*;*;
1664;J1809-1850;1.124481;1.06e-14;*;*;*;
1665;J1809-1917;0.082747;2.55e-14;*;XRS:PWN[kp07];*;
1666;J1809-1943;5.540743;2.83e-12;*;XRS:XTE_J1810-197;AXP,HE;
1667;J1809-2004;0.434811;7.28e-15;*;*;*;
1668;B1806-21;0.702414;3.82e-15;*;*;*;
1669;J1809-2332;0.146789;3.44e-14;*;GRS:2FGL_J1809.8-2332[naa+12],PWN:[brrk0;NRAD;
1670;J1809-3547;0.860388;1.20e-16;*;*;*;
1671;J1810-1441;0.217214;2.39e-17;*;*;*;
1672;J1810+1744;0.001660;*;BT;OPT:[bvr+13],GRS:3FGL_J1810.5+1743;HE;
1673;J1810-1820;0.153716;5.22e-17;*;*;*;
1674;J1810-2005;0.032822;1.47e-19;ELL1;*;*;
1675;B1806-53;0.261049;3.83e-16;*;*;*;
1676;J1811-0154;0.924945;1.61e-15;*;*;*;
1677;J1811+0702;0.461713;2.69e-15;*;*;*;
1678;J1811-1049;2.623859;8.00e-16;*;*;*;
1679;J1811-1717;0.391385;1.20e-16;*;*;*;
1680;J1811-1736;0.104182;9.01e-19;BT;*;*;
1681;J1811-1835;0.557464;6.31e-15;*;*;*;
1682;J1811-1925;0.064667;4.40e-14;*;SNR:G11.2-0.3;NRAD;
1683;J1811-2405;0.002661;1.34e-20;ELL1;GRS:[nbb+14];*;
1684;J1811-2439;0.415813;2.97e-16;*;*;*;
1685;J1811-4930;1.432704;2.25e-15;*;*;*;
1686;B1810+02;0.793903;3.60e-15;*;*;*;
1687;B1809-173;1.205374;1.91e-14;*;*;*;
1688;B1809-176;0.538341;9.82e-16;*;*;*;
1689;J1812-1910;0.430991;3.77e-14;*;*;*;
1690;J1812-2102;1.223352;2.39e-14;*;*;*;
1691;J1812-2526;0.315835;1.77e-16;*;*;*;
1692;J1812-2748;0.236983;3.16e-16;*;*;*;
1693;J1812-3039;0.587477;6.60e-16;*;*;*;
1694;J1813-1246;0.048072;1.76e-14;*;GRS:2FGL_J1813.4-1246[naa+12],XRS:Swift_;NRAD;
1695;J1813-1749;0.044699;1.27e-13;*;SNR:12.8-0.0,GRS:HESS_J1813-178;NRAD;
1696;J1813+1822;0.336425;2.10e-17;*;*;*;
1697;J1813-2113;0.426466;2.08e-15;*;*;*;
1698;J1813-2242;0.328514;4.78e-17;*;*;*;
1699;J1813-2621;0.004430;1.25e-20;ELL1;*;*;
1700;B1811+40;0.931089;2.55e-15;*;*;*;
1701;J1814-0521;1.014219;8.84e-16;*;*;*;
1702;J1814-0618;1.377868;2.92e-16;*;*;*;
1703;J1814+1130;0.751261;1.66e-15;*;*;*;
1704;J1814-1649;0.957464;6.33e-15;*;*;*;
1705;J1814-1744;3.975905;7.45e-13;*;*;*;
1706;J1815-1738;0.198436;7.79e-14;*;*;*;
1707;J1815-1910;1.249924;3.63e-14;*;*;*;
1708;J1815+5546;0.426844;9.47e-17;*;*;*;
1709;J1816-0755;0.217643;6.48e-15;*;*;*;
1710;J1816-1446;0.594500;1.33e-15;*;*;*;
1711;B1813-17;0.782313;7.26e-15;*;*;*;
1712;B1813-26;0.592885;6.64e-17;*;*;*;
1713;J1816+4510;0.003193;4.31e-20;ELL1;GRS:1FGL_J1816.7+4509[aaa+10g],OPT:[kbv+;HE[ksr+12];
1714;J1816-5643;0.217923;1.93e-18;*;*;*;
1715;J1817-0743;0.438095;-2.30e-18;*;*;*;
1716;J1817-1511;0.224604;1.43e-15;*;*;*;
1717;J1817-1742;0.149744;2.06e-14;*;GRS:3FGL_J1817.2-1739;NRAD;
1718;J1817-1938;2.046838;3.60e-16;*;*;*;
1719;B1814-23;0.625470;*;*;*;*;
1720;B1813-36;0.387017;2.05e-15;*;*;*;
1721;J1817-3837;0.384487;5.80e-16;*;*;*;
1722;J1818-01;0.838500;*;*;*;*;
1723;J1818-1116;0.544800;3.82e-15;*;*;*;
1724;B1815-14;0.291489;2.04e-15;*;*;*;
1725;J1818-1448;0.281371;6.15e-15;*;*;*;
1726;J1818-1519;0.939690;4.11e-15;*;*;*;
1727;J1818-1541;0.551134;9.68e-15;*;*;*;
1728;J1818-1556;0.952709;7.06e-16;*;*;*;
1729;J1819-0925;0.852047;3.13e-15;*;*;*;
1730;J1819-1008;0.301490;1.32e-15;*;*;*;
1731;J1819-1114;0.294163;5.66e-16;*;*;*;
1732;J1819-1131;1.388137;7.61e-16;*;*;*;
1733;J1819+1305;1.060364;3.59e-16;*;*;*;
1734;J1819-1318;1.515696;5.97e-16;*;*;*;
1735;J1819-1408;1.788490;2.59e-15;*;*;*;
1736;J1819-1458;4.263213;5.63e-13;*;XRS:CXOU_J181939.1-145804[mrg+07];RRAT,HE;
1737;J1819-1510;0.226539;7.85e-18;*;*;*;
1738;J1819-17;2.352135;*;*;*;*;
1739;J1819-1717;0.393522;3.45e-15;*;*;*;
1740;B1818-04;0.598076;6.33e-15;*;*;*;
1741;J1820-0509;0.337321;9.32e-16;*;*;*;
1742;B1817-13;0.921460;4.50e-15;*;*;*;
1743;J1820-1529;0.333243;3.79e-14;*;*;*;
1744;B1817-18;0.309905;9.36e-17;*;*;*;
1745;J1821+0155;0.033781;2.90e-20;*;*;*;
1746;J1821-0256;0.414111;3.72e-17;*;*;*;
1747;J1821-0331;0.902316;2.53e-15;*;*;*;
1748;J1821-1419;1.656010;8.95e-13;*;*;*;
1749;J1821-1432;1.915131;5.37e-15;*;*;*;
1750;J1821+1715;1.366682;8.71e-16;*;*;*;
1751;J1821+4147;1.261857;1.73e-15;*;*;*;
1752;J1822+0705;1.362817;1.75e-15;*;*;*;
1753;J1822-0848;0.834839;1.35e-16;BT;*;*;
1754;J1822-0907;0.974700;3.55e-16;*;*;*;
1755;J1822+1120;1.787037;2.35e-15;*;*;*;
1756;J1822-1252;2.071040;8.48e-14;*;*;*;
1757;B1820-14;0.214771;9.07e-16;*;*;*;
1758;J1822-1604;8.437721;2.14e-14;*;XRS:SGR_J1822-1606;AXP,NRAD;
1759;J1822-1617;0.831156;1.89e-15;*;*;*;
1760;B1819-22;1.874269;1.35e-15;*;*;*;
1761;J1822-4209;0.456512;4.59e-16;*;*;*;
1762;J1823-0154;0.759777;1.13e-15;*;*;*;
1763;B1821+05;0.752907;2.27e-16;*;*;*;
1764;B1820-11;0.279829;1.38e-15;BT;*;*;
1765;J1823-1126;1.846534;3.65e-14;*;*;*;
1766;J1823-1347;0.617107;9.60e-15;*;*;*;
1767;J1823-1526;1.625405;4.52e-15;*;*;*;
1768;J1823-1807;1.636792;2.79e-16;*;*;*;
1769;B1820-30A;0.005440;3.38e-18;*;GC:NGC6624;HE[faa+11];
1770;B1820-30B;0.378596;2.99e-17;*;GC:NGC6624;*;
1771;J1823-3021C;0.405936;2.24e-16;*;GC:NGC6624;*;
1772;J1823-3021D;0.003020;*;*;GC:NGC6624;*;
1773;J1823-3021E;0.004394;*;*;GC:NGC6624;*;
1774;J1823-3021F;0.004850;*;*;GC:NGC6624;*;
1775;B1820-31;0.284054;2.93e-15;*;*;*;
1776;J1824-0127;2.499468;3.91e-15;*;*;*;
1777;J1824+10;0.004070;*;BT;GRS:3FGL_J1824.0+1017[cck+16];HE;
1778;B1821-11;0.435759;3.55e-15;*;*;*;
1779;J1824-1159;0.362492;5.38e-15;*;*;*;
