#;NAME;P0;P1;ASSOC;PSR;
;;(s);;;TYPE;
177;J1615-5609;0.003359;*;*;*;
178;J1618-3921;0.011987;5.41e-20;*;*;
179;J1618-4624;0.005931;3.10e-21;GRS:4FGL_J1618.7-4633[aab+22];HE[ccb+20],HE[aab+22];
180;J1622-0315;0.003845;1.14e-20;GRS:4FGL_J1623.0-0315[aab+22];HE;
181;J1622-6617;0.023623;5.88e-20;*;*;
182;B1620-26;0.011076;6.71e-19;GC:NGC6121(M4),XRS:[pkgw07];*;
183;J1623-6936;0.002410;*;GRS:4FGL_J1623.9-6936[cbb+23];*;
184;J1625-0021;0.002834;2.13e-20;GRS:4FGL_J1625.1-0020[aab+22];HE[drc+21];
185;J1627+3219;0.002183;5.48e-21;GRS:4FGL_J1627.7+3219[aab+22];NRAD[aab+22];
186;J1628-3205;0.003212;1.20e-20;GRS:4FGL_J1628.1-3204[aab+22],OPT:[lht14;HE;
187;J1630+3550;0.003229;2.09e-20;*;*;
188;J1630+3734;0.003318;1.07e-20;GRS:4FGL_J1630.6+3734[aab+22];HE;
189;J1638-4725;0.763933;4.79e-15;*;*;
190;J1640+2224;0.003163;2.82e-21;GRS:4FGL_J1640.1+2222[aab+22];HE[aab+22];
191;B1639+36B;0.003528;-1.49e-22;GC:M13(NGC6205),XRS:[zzh21];*;
192;J1641+3627D;0.003118;-2.35e-20;GC:M13(NGC6205),XRS:[zzh21],OPT:[zzh21];*;
193;J1641+3627E;0.002487;1.74e-20;GC:M13(NGC6205),XRS:[zzh21];*;
194;J1641+3627F;0.003004;1.40e-20;GC:M13(NGC6205),XRS:[zzh21],OPT:[zzh21];*;
195;J1641+8049;0.002021;8.95e-21;GRS:4FGL_J1641.2+8049[aab+22],OPT:[lsk+1;HE[aab+22];
196;J1643-1224;0.004622;1.85e-20;*;*;
197;J1653-0158;0.001968;2.40e-21;GRS:4FGL_J1653.6-0158[aab+22];NRAD[aab+22];
198;J1653-2054;0.004129;1.12e-20;*;*;
199;J1658+3630;0.033028;1.16e-19;*;*;
200;J1701-3006A;0.005242;-1.30e-19;GC:M62(NGC6266);*;
201;J1701-3006B;0.003594;-3.48e-19;GC:M62(NGC6266);*;
202;J1701-3006C;0.007613;-6.41e-20;GC:M62(NGC6266);*;
203;J1701-3006D;0.003418;1.26e-19;GC:M62(NGC6266);*;
204;J1701-3006E;0.003234;3.10e-19;GC:M62(NGC6266);*;
205;J1701-3006F;0.002295;2.22e-19;GC:M62(NGC6266);*;
206;J1701-3006G;0.004608;*;GC:M62(NGC6266)[rgf+21];*;
207;J1708-3506;0.004505;1.14e-20;*;*;
208;J1708-4843;0.016657;*;*;*;
209;J1709+2313;0.004631;3.63e-21;*;*;
210;J1711-4322;0.102618;2.67e-17;*;*;
211;J1713+0747;0.004570;8.53e-21;GRS:4FGL_J1713.8+0747[aab+22];HE[egc+13];
212;J1717+4308A;0.003160;6.11e-20;GC:NGC6341(M92)[prl+20];*;
213;J1719-1438;0.005790;8.04e-21;*;*;
214;J1720-0533;0.003268;8.17e-21;*;*;
215;B1718-19;1.004037;1.62e-15;GC:NGC6342,GRS:4FGL_J1720.8-1937[aab+22];HE[aab+22];
216;J1723-2837;0.001856;7.54e-21;OPT:2MASS_J17232318-2837571[cls+13];*;
217;J1727-2946;0.027083;2.46e-19;*;*;
218;J1727-2951;0.028405;3.10e-19;*;*;
219;J1731-1847;0.002345;2.54e-20;GRS:4FGL_J1731.7-1850[aab+22],XRS:[pb15];HE[aab+22];
220;J1732-5049;0.005313;1.42e-20;GRS:4FGL_J1732.7-5050[aab+22];HE;
221;J1737-0314A;0.001980;9.56e-20;GC:M14(NGC6402)[pqm+21];*;
222;J1737-0811;0.004175;7.93e-21;*;*;
223;J1738+0333;0.005850;2.41e-20;OPT:[avk+12];*;
224;J1740-3052;0.570313;2.55e-14;OPT:[bbn+11];*;
225;J1740-5340A;0.003650;1.68e-19;GC:NGC6397,OPT:[fpds01],XRS:[ghe+01];*;
226;J1740-5340B;0.005787;-6.03e-21;GC:NGC6397[zrb+22],GC:NGC6397,OPT:[zht+2;*;
227;J1741+1351;0.003747;3.02e-20;GRS:4FGL_J1741.4+1354[aab+22],OPT:[zkk+1;HE[egc+13];
228;J1744-3922;0.172444;1.55e-18;*;*;
229;J1745+1017;0.002652;2.73e-21;GRS:4FGL_J1745.5+1017[aab+22];HE;
230;J1745-0952;0.019376;9.25e-20;*;*;
231;J1745-23;0.005417;*;*;*;
232;J1748-2021B;0.016760;-3.29e-19;GC:NGC6440;*;
233;J1748-2021D;0.013496;5.87e-19;GC:NGC6440;*;
234;J1748-2021F;0.003794;-1.05e-20;GC:NGC6440;*;
235;B1744-24A;0.011563;-3.40e-20;GC:Terzan5;*;
236;J1748-2446E;0.002198;*;GC:Terzan5;*;
237;J1748-2446I;0.009570;*;GC:Terzan5;*;
238;J1748-2446J;0.080338;*;GC:Terzan5;*;
239;J1748-2446M;0.003570;*;GC:Terzan5;*;
240;J1748-2446N;0.008667;*;GC:Terzan5;*;
241;J1748-2446O;0.001677;*;GC:Terzan5;*;
242;J1748-2446P;0.001729;*;GC:Terzan5;*;
243;J1748-2446Q;0.002812;*;GC:Terzan5;*;
244;J1748-2446U;0.003289;*;GC:Terzan5;*;
245;J1748-2446V;0.002073;*;GC:Terzan5;*;
246;J1748-2446W;0.004205;*;GC:Terzan5;*;
247;J1748-2446X;0.002999;*;GC:Terzan5;*;
248;J1748-2446Y;0.002048;*;GC:Terzan5;*;
249;J1748-2446Z;0.002463;*;GC:Terzan5;*;
250;J1748-2446ab;0.005120;*;GC:Terzan5;*;
251;J1748-2446ad;0.001396;0.00e+00;GC:Terzan5;*;
252;J1748-2446ae;0.003659;*;GC:Terzan5;*;
253;J1748-2446ai;0.021228;*;GC:Terzan5;*;
254;J1748-2446am;0.002934;-1.37e-19;GC:Terzan5;*;
255;J1748-2446an;0.004802;1.56e-19;GC:Terzan5;*;
256;J1748-3009;0.009684;-3.58e-20;*;*;
257;J1750-2536;0.034749;*;*;*;
258;J1750-3703A;0.111601;5.66e-18;GC:NGC6441;*;
259;J1750-3703B;0.006075;1.92e-20;GC:NGC6441;*;
260;J1751-2857;0.003915;1.12e-20;*;*;
261;J1753-2240;0.095138;9.70e-19;*;*;
262;J1753-2819;0.018624;-4.94e-20;*;*;
263;J1755-2550;0.315196;2.43e-15;*;*;
264;J1755-3716;0.012786;3.11e-20;*;*;
265;J1756-2251;0.028462;1.02e-18;*;*;
266;J1757-1854;0.021497;2.63e-18;*;*;
267;J1757-5322;0.008870;2.63e-20;*;*;
268;J1757-6032;0.002913;*;GRS:4FGL_J1757.7-6032[cbb+23];*;
269;J1759+5036;0.176016;2.43e-19;*;*;
270;J1801-0857B;0.028962;2.20e-18;GC:NGC6517;*;
271;J1801-3210;0.007454;7.22e-23;*;*;
272;J1802-2124;0.012648;7.26e-20;*;*;
273;B1800-27;0.334415;1.71e-17;*;*;
274;J1803-6707;0.002135;1.85e-20;GRS:4FGL_J1803.1-6708[cbb+23],XRS:[cbb+2;HE[saa+23];
275;B1802-07;0.023101;4.67e-19;GC:NGC6539;*;
276;J1804-2717;0.009343;4.09e-20;*;*;
277;J1805+0615;0.002129;2.28e-20;GRS:4FGL_J1805.6+0615[aab+22];HE[cck+16];
278;J1806+2819;0.015084;3.75e-20;GRS:4FGL_J1807.1+2822[aab+22];HE[kmk+18],HE[aab+22];
279;J1807-2459A;0.003059;-4.33e-21;GC:NGC6544;*;
280;J1807-2459B;0.004186;8.23e-20;GC:NGC6544;*;
281;J1810+1744;0.001660;4.60e-21;GRS:4FGL_J1810.5+1744[aab+22],OPT:[bvr+1;HE;
282;J1810-2005;0.032822;1.47e-19;*;*;
283;J1811-0624;0.004146;4.81e-21;*;*;
284;J1811-1736;0.104182;9.01e-19;*;*;
285;J1811-2405;0.002661;1.38e-20;GRS:4FGL_J1811.3-2403[aab+22];HE[aab+22];
286;J1813-0402;0.004107;6.94e-21;*;*;
287;J1813-2621;0.004430;1.25e-20;*;*;
288;J1816+4510;0.003193;4.31e-20;GRS:4FGL_J1816.5+4510[aab+22],OPT:[kbv+1;HE[ksr+12];
289;J1822-0848;0.834839;1.35e-16;*;*;
290;B1820-11;0.279829;1.38e-15;*;*;
291;J1823-3021G;0.006091;-1.78e-20;GC:NGC6624;*;
292;J1823-3543;0.002425;*;GRS:4FGL_J1823.8-3544[aab+22];NRAD[aab+22];
293;J1824+1014;0.004066;5.37e-21;GRS:4FGL_J1824.1+1013[aab+22];HE[drc+21];
294;J1824-0621;0.003233;9.14e-21;*;*;
295;J1824-2452C;0.004159;*;GC:M28(NGC6626),XRS:[bvs+11];*;
296;J1824-2452D;0.079832;*;GC:M28(NGC6626),XRS:[bvs+11];*;
297;J1824-2452G;0.005909;*;GC:M28(NGC6626),XRS:(?)[bvs+11];*;
298;J1824-2452H;0.004629;*;GC:M28(NGC6626),OPT:COM-M28H[pdf+10],XRS;*;
299;J1824-2452I;0.003932;0.00e+00;GC:M28(NGC6626),XRS:IGR_J18245-2452[pfb+;HE;
300;J1824-2452J;0.004039;*;GC:M28(NGC6626),XRS:[bvs+11];*;
301;J1824-2452K;0.004461;*;GC:M28(NGC6626),XRS:[bvs+11];*;
302;J1824-2452L;0.004100;*;GC:M28(NGC6626);*;
303;J1824-2452M;0.004784;1.23e-19;GC:M28(NGC6626)[dpr+22];*;
304;J1824-2452N;0.003353;1.59e-19;GC:M28(NGC6626)[dpr+22];*;
305;J1825-0319;0.004554;6.80e-21;*;*;
306;J1828+0625;0.003628;4.70e-21;*;*;
307;J1829+2456;0.041010;5.25e-20;*;*;
308;J1833-3840;0.001866;1.77e-20;GRS:4FGL_J1833.0-3840[aab+22];HE[aab+22];
309;B1831-00;0.520954;1.05e-17;*;*;
310;J1835-0114;0.005116;7.00e-21;*;*;
311;J1835-3259B;0.001830;4.34e-20;GC:NGC6652[grf+22];HE[zxw22];
312;J1836-2354A;0.003354;2.32e-21;GC:M22(NGC6656);*;
313;J1837-0822;1.099196;1.21e-16;*;*;
314;J1840-0643;0.035578;9.54e-20;*;*;
315;J1841+0130;0.029773;8.17e-18;*;*;
316;J1844+0115;0.004186;1.07e-20;*;*;
317;J1850+0124;0.003560;1.09e-20;*;*;
318;J1850+0242;0.004480;1.63e-19;*;*;
319;J1853+1303;0.004092;8.72e-21;*;*;
320;J1853-0842A;0.002149;-2.39e-21;GC:NGC6712[ypr+21];*;
321;J1855-1436;0.003594;1.09e-20;GRS:4FGL_J1855.9-1435[aab+22];HE;
322;B1855+09;0.005362;1.78e-20;*;*;
323;J1858-2216;0.002384;3.80e-21;GRS:4FGL_J1858.3-2216[aab+22];HE;
324;J1858-5422;0.002356;*;GRS:4FGL_J1858.3-5424[aab+22];HE[bar+23];
325;J1900+0308;0.004909;5.90e-21;*;*;
326;J1901+0300;0.007797;4.57e-20;*;*;
327;J1902-5105;0.001742;9.20e-21;GRS:4FGL_J1902.0-5105[aab+22];HE;
328;J1903+0327;0.002150;1.88e-20;OPT:[fbw+11];*;
